,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
2738,2020-07-01,16898841713.167,16885161713.167,1.9130376501374384,16284740022.087872,459439827.8776652,41777511.15830763,74980229.67621869,2305702.1494296296,6204485.958688411,14566045.00758791,247575.83329583,310.976,900002.44193602,0.0
2739,2020-07-02,16250621656.50768,16236801656.50768,0.6223078495291874,15736311618.571032,432696805.16790247,42547193.67477564,14888465.564454755,6390715.847466889,3214152.65163607,705031.88909696,8460.547437079998,2.69,39209.90387765,0.0
2740,2020-07-03,16468754393.979376,16455024393.979376,2.4824929479416884,14998249280.092163,1366181188.9964314,23546089.226063397,17128876.59571789,1119442.4488507498,42668088.270371296,5394242.128291441,3339.455,878.56449091,732968.20199118,0.0
2741,2020-07-04,16888652752.658663,16875022752.658663,0.5243329873113004,16023471937.63691,813492352.9594593,18254345.071093407,10959176.30153975,2843120.56174416,5669723.370102408,274836.73596293,6550.70168305,4208.91,46500.4101698,0.0
2742,2020-07-05,15273243364.944319,15259393364.944319,0.4044911460156764,14937095839.994213,289066899.5857512,24254214.98751468,4085223.70791201,2385169.4149164,691301.4373530099,1057452.3518404202,16440.78592303,14207.17625429,726615.5026388102,0.0
2743,2020-07-06,24232348426.90808,24218538426.90808,2.1511247622922696,21991444462.202183,1976357601.5810204,150088119.93333966,25138276.909932565,17664895.661426328,51928822.45764626,3919821.0380181293,1994255.9335871998,0.0,2171.19092072,0.0
2744,2020-07-07,63066951213.04366,63053111213.04368,24.83203132218853,56767539471.111084,1528170832.373782,1649092612.3201914,427417762.1799317,469154496.81957763,2078081035.3143663,123828050.64164887,518672.60596454993,8004442.350659192,1303837.32645834,0.0
2745,2020-07-08,188244008476.0629,188230378476.0629,11.851829923413597,178994467852.33246,1693191645.7403624,2326834354.406836,1295604674.3825822,1656625170.3977609,1257989541.9463296,944450618.8881992,36999080.785806015,182129.67641256,24033407.50622455,0.0
2746,2020-07-09,95002164607.66338,94988334607.6634,6.625797785042839,92508994768.46544,1341600522.1051085,79178739.72752526,148835960.81014186,187381745.9828173,393400387.8085277,242616259.29069492,34460537.15602171,8670286.7359164,43195399.58120304,0.0
2747,2020-07-10,70979978178.29178,70966238178.29178,3.870776627523945,67779997242.667915,2144412538.4744227,413328627.0397502,192789881.5439952,314625386.29897445,54242241.33735262,12229588.09703412,3925824.82273652,19007859.69298293,31678988.316631954,0.0
