-9,-7,-5,-3,-1,1,3,5,7,9,date,11
7100,162200,300200,0,0,0,0,0,0,0,2009/3/31,0
5700,164350,305150,0,0,0,0,0,0,0,2009/4/1,0
5750,164950,310250,0,0,0,0,0,0,0,2009/4/2,0
5800,164750,316200,0,0,0,0,0,0,0,2009/4/3,0
5650,165050,321650,50,0,0,0,0,0,0,2009/4/4,0
7350,164750,326750,50,0,0,0,0,0,0,2009/4/5,0
5450,167250,331600,50,0,0,0,0,0,0,2009/4/6,0
5000,166150,338150,50,0,0,0,0,0,0,2009/4/7,0
5250,166350,342950,50,0,0,0,0,0,0,2009/4/8,0
4950,166700,347850,50,0,0,0,0,0,0,2009/4/9,0
5400,166300,352550,700,0,0,0,0,0,0,2009/4/10,0
6350,165750,355100,3750,0,0,0,0,0,0,2009/4/11,0
6550,165250,356650,8400,0,0,0,0,0,0,2009/4/12,0
5800,166250,357411,13139,0,0,0,0,0,0,2009/4/13,0
6200,166050,357611,18939,0,0,0,0,0,0,2009/4/14,0
5650,164000,360150,24650,0,0,0,0,0,0,2009/4/15,0
6150,164300,359225,30925,0,0,0,0,0,0,2009/4/16,0
5600,164350,360075,36175,0,0,0,0,0,0,2009/4/17,0
6450,164150,360975,40925,0,0,0,0,0,0,2009/4/18,0
6350,164000,362125,45975,0,0,0,0,0,0,2009/4/19,0
11700,163450,357250,52000,0,0,0,0,0,0,2009/4/20,0
6200,169200,357550,57600,0,0,0,0,0,0,2009/4/21,0
6050,169150,358950,62450,0,0,0,0,0,0,2009/4/22,0
3750,170250,359200,67150,0,0,0,0,0,0,2009/4/23,0
5750,168650,360200,71500,0,0,0,0,0,0,2009/4/24,0
5900,167450,357150,81500,0,0,0,0,0,0,2009/4/25,0
6350,167850,352800,90600,0,0,0,0,0,0,2009/4/26,0
5200,167750,353900,95950,0,0,0,0,0,0,2009/4/27,0
5850,167500,354600,100700,0,0,0,0,0,0,2009/4/28,0
7400,167100,354550,106000,0,0,0,0,0,0,2009/4/29,0
6550,167750,354850,112450,0,0,0,0,0,0,2009/4/30,0
6050,168950,354750,117900,0,0,0,0,0,0,2009/5/1,0
7000,168950,353750,124250,0,0,0,0,0,0,2009/5/2,0
5350,170600,353500,129800,0,0,0,0,0,0,2009/5/3,0
7900,169250,352750,135750,0,0,0,0,0,0,2009/5/4,0
7250,169900,352500.04,142749.96,0,0,0,0,0,0,2009/5/5,0
6750,172050,351950.04,148399.96,0,0,0,0,0,0,2009/5/6,0
6100,174050,350600.04,154499.96,0,0,0,0,0,0,2009/5/7,0
5350,175200,349600.04,160449.96,0,0,0,0,0,0,2009/5/8,0
3900,176000,347100.04,167499.96,0,0,0,0,0,0,2009/5/9,0
4250,174800,345000.04,174699.96,0,0,0,0,0,0,2009/5/10,0
6100,173350,341900.04,183399.96,0,0,0,0,0,0,2009/5/11,0
6500,173200,342250.04,189299.96,0,0,0,0,0,0,2009/5/12,0
5650,174000,341000,196150,0,0,0,0,0,0,2009/5/13,0
7100,173700,341100,201850,0,0,0,0,0,0,2009/5/14,0
7250,174850,340750,207700,0,0,0,0,0,0,2009/5/15,0
5950,176150,340350,214050,0,0,0,0,0,0,2009/5/16,0
6350,176500,339400,220600,0,0,0,0,0,0,2009/5/17,0
5900,176600,338450,227800,0,0,0,0,0,0,2009/5/18,0
4300,176200,339250,233300,0,0,0,0,0,0,2009/5/19,0
6000,168900,345150,239000,0,0,0,0,0,0,2009/5/20,0
4100,169050,344400,245600,0,0,0,0,0,0,2009/5/21,0
3050,167550,344250,251350,0,0,0,0,0,0,2009/5/22,0
1600,167100,342300,256800,0,0,0,0,0,0,2009/5/23,0
5000,163250,341750,262800,0,0,0,0,0,0,2009/5/24,0
5450,162700,342400,267700,0,0,0,0,0,0,2009/5/25,0
6250,161900,343500,272850,0,0,0,0,0,0,2009/5/26,0
5950,163000,343650,277850,0,0,0,0,0,0,2009/5/27,0
4750,163400,344050,283000,0,0,0,0,0,0,2009/5/28,0
8300,158150,343850,290200,0,0,0,0,0,0,2009/5/29,0
5450,160300,344800,295400,0,0,0,0,0,0,2009/5/30,0
4800,160100,345700,300150,0,0,0,0,0,0,2009/5/31,0
3600,158250,347350,305100,0,0,0,0,0,0,2009/6/1,0
5550,156750,347350,310200,0,0,0,0,0,0,2009/6/2,0
3550,154750,348950,316150,0,0,0,0,0,0,2009/6/3,0
3300,151250,350650,321500,0,0,0,0,0,0,2009/6/4,0
1500,148000,352200,326500,0,0,0,0,0,0,2009/6/5,0
1400,143400,353500,331300,0,0,0,0,0,0,2009/6/6,0
800,139500,352350,337750,0,0,0,0,0,0,2009/6/7,0
4100,136550,351300,342550,0,0,0,0,0,0,2009/6/8,0
4550,136500,350550,347450,0,0,0,0,0,0,2009/6/9,0
4100,134950,351300,352800,0,0,0,0,0,0,2009/6/10,0
4450,132550,352250,358350,0,0,0,0,0,0,2009/6/11,0
4300,131400,351700,364500,0,0,0,0,0,0,2009/6/12,0
3900,128700,353250,369950,0,0,0,0,0,0,2009/6/13,0
3600,125750,354150,375900,0,0,0,0,0,0,2009/6/14,0
4200,123650,351650,384100,0,0,0,0,0,0,2009/6/15,0
3550,121700,352500,389400,0,0,0,0,0,0,2009/6/16,0
3950,119500,352150,395500,0,0,0,0,0,0,2009/6/17,0
4000,119350,350550,401200,0,0,0,0,0,0,2009/6/18,0
4350,117850,349950,407300,0,0,0,0,0,0,2009/6/19,0
3900,118300,351900,409250,0,0,0,0,0,0,2009/6/20,0
4050,119300,348900,415150,0,0,0,0,0,0,2009/6/21,0
6800,118800,344200,421400,0,0,0,0,0,0,2009/6/22,0
3800,120850,344000,426350,0,0,0,0,0,0,2009/6/23,0
4898.98,119350.01,343801.01,431700,0,0,0,0,0,0,2009/6/24,0
4400,117248.99,342851.01,438650,0,0,0,0,0,0,2009/6/25,0
4500,115898.99,343851.01,443400,0,0,0,0,0,0,2009/6/26,0
4200,115748.99,342051.01,449850,0,0,0,0,0,0,2009/6/27,0
2350,111848.99,344651.01,455300,0,0,0,0,0,0,2009/6/28,0
4200,109098.99,344451.01,460550,0,0,0,0,0,0,2009/6/29,0
4345,108703.99,342201.01,467300,0,0,0,0,0,0,2009/6/30,0
3800,109698.98,340101.02,472650,0,0,0,0,0,0,2009/7/1,0
4200,107898.98,340301.02,478000,0,0,0,0,0,0,2009/7/2,0
4100,108548.98,338551.02,483300,0,0,0,0,0,0,2009/7/3,0
4450,109348.98,336651.02,488450,50,0,0,0,0,0,2009/7/4,0
3950,112298.98,331401.02,495200,50,0,0,0,0,0,2009/7/5,0
4200,114848.98,327701.02,500300,50,0,0,0,0,0,2009/7/6,0
3450,118248.98,323751.02,505050,50,0,0,0,0,0,2009/7/7,0
3700,117598.98,322901.02,510000,50,0,0,0,0,0,2009/7/8,0
4300,116998.98,322651.02,514550,50,0,0,0,0,0,2009/7/9,0
4050,117398.98,321451.02,519000,700,0,0,0,0,0,2009/7/10,0
4150,117298.98,320001.02,521550,3750,0,0,0,0,0,2009/7/11,0
3850,117348.98,317851.02,523150,8400,0,0,0,0,0,2009/7/12,0
3900,117448.98,316001.02,524011,13139,0,0,0,0,0,2009/7/13,0
3450,117948.98,313601.02,524011,18939,0,0,0,0,0,2009/7/14,0
2250,117448.98,312051.02,523800,24650,0,0,0,0,0,2009/7/15,0
3550,116148.98,309651.02,523475,30925,0,0,0,0,0,2009/7/16,0
2350,115748.98,308001.02,523825,36175,0,0,0,0,0,2009/7/17,0
200,114148.98,305701.02,525325,40925,0,0,0,0,0,2009/7/18,0
3500,110248.98,303501.02,526575,45975,0,0,0,0,0,2009/7/19,0
9549.67,104048.98,295701.02,532000.33,52000,0,0,0,0,0,2009/7/20,0
4100,109548.65,293901.02,532250.33,57600,0,0,0,0,0,2009/7/21,0
3000,106948.65,295001.02,533000.33,62450,0,0,0,0,0,2009/7/22,0
3800,106448.65,295001.02,531800.33,67150,0,0,0,0,0,2009/7/23,0
3650,105599.67,294200,532900.33,71500,0,0,0,0,0,2009/7/24,0
1600,105099.67,292800,528450.33,81500,0,0,0,0,0,2009/7/25,0
1050,102449.67,290800,525600.33,90600,0,0,0,0,0,2009/7/26,0
3700,99749.67,289400,525400.33,95950,0,0,0,0,0,2009/7/27,0
2050,101274.67,286025,526200.33,100700,0,0,0,0,0,2009/7/28,0
1050,99544.67,282705,527900.33,106000,0,0,0,0,0,2009/7/29,0
