,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
2467,2017-10-03,10879355.27407665,10864655.27407665,1.9235023644332192,10132025.53699568,606348.2998106497,109213.96069176,7709.21246406,941.2541359799997,120.14013709,3883.41201279,775.38103036,3638.07679828,0.0,0.0
2468,2017-10-04,7658179.12489653,7642904.12489653,3.4822767082243105,7294073.49479767,247972.43127944,57425.11211456,11028.86007863,2331.82783055,28379.131554169995,264.67898781,1176.0238327000004,230.2529015,22.3115195,0.0
2469,2017-10-05,5041599.319698108,5027874.31969811,3.972033509403688,4449725.13916804,427544.82749884,124402.40997229,21372.71113637,215.87222592000003,191.92367212,1020.73338571,3331.9674285,68.73521032000001,0.0,0.0
2470,2017-10-06,3510712.94944239,3496137.94944239,2.9767871495633766,3145340.62763394,300224.26885341,40082.08534516,5343.43184112,58.63974086,1120.8161562,831.5598265599998,1909.2663573,1227.25368784,0.0,0.0
2471,2017-10-07,2998372.33538178,2983972.33538178,2.892512585154788,2519555.57672554,413529.58082250005,37913.08251612,10226.3819157,220.40181443000003,106.12788922,70.6617755,2112.98044822,205.50927781,32.03219674,0.0
2472,2017-10-08,5277809.76589104,5263034.76589104,1.7835726120085236,4763064.138625208,405353.7515698,79892.32395588,11707.896788,1195.8859771999996,1337.29093597,33.236605170000004,408.90581971,41.3356141,0.0,0.0
2473,2017-10-09,8931701.73777161,8917526.73777161,2.4809993925122384,8316580.99652237,433580.93687722,104036.90791604,55747.40826628,3389.63431625,387.76858553,1198.7462240700004,2384.46151148,74.77617959999999,145.10137277,0.0
2474,2017-10-10,6541728.23450723,6528628.23450723,2.5060778552701004,5527715.202491528,857443.3012858001,128694.02822645,12881.356708,210.6193634,506.75981556,674.94291024,301.70207351,200.32163274,0.0,0.0
2475,2017-10-11,4408117.51060302,4394467.510603019,5.72732365091045,3932784.64199236,350550.1214355,50822.6127707,13191.33993039,45726.74653560001,176.40956931999997,235.89400832,779.5589089,200.18545193000003,0.0,0.0
2476,2017-10-12,9902038.77506428,9888213.77506428,1.852371612226824,8581286.314768098,1182643.73423204,102885.13385564,14657.109704380002,2700.61503128,1722.72414171,1148.62325668,629.5708686600002,539.94920579,0.0,0.0
2477,2017-10-13,9143498.70590046,9129098.70590046,2.15123316808318,8453386.40519397,497787.39737756,155327.97597959,14084.53197358,1363.55433147,3524.82374182,1402.3991807999996,2075.39232776,146.22579391000005,0.0,0.0
2478,2017-10-14,6608026.806946781,6592176.80694678,3.8241049526426023,6091153.104621711,384816.12391639,77220.05291622001,13047.63202139,11164.24265359,5752.1395836,740.01271256,8246.29480629,37.20371503,0.0,0.0
2479,2017-10-15,6180186.96787993,6163436.96787993,2.4340154504594165,5647155.51353267,396079.58250781,94933.05895465,18514.54183131,3184.4456547500013,547.09675788,38.64010483,2271.13091719,712.95761884,0.0,0.0
2480,2017-10-16,4400309.95409176,4385209.95409176,3.343982139519736,3982452.92239563,279721.57597907004,103182.67910078,14454.009388040002,451.6899554,321.64632288,918.6061325199997,3329.98983992,376.83497752,0.0,0.0
2481,2017-10-17,5199683.77480189,5185658.7748018885,4.646598955908266,4319832.40772652,621563.69255008,217332.62049427995,19289.164216020006,180.70059162000004,641.61400354,2114.77053069,4203.96341484,499.8412743,0.0,0.0
2482,2017-10-18,5718652.507501401,5703802.507501401,5.8465048851812975,4218038.72128739,1238381.37866069,204594.80934944,37525.31632336,1561.7076152,383.93726348,2344.3347593499993,581.1503797400002,328.4298706,62.72199215000001,0.0
2483,2017-10-19,4309876.2314373,4295651.2314373,2.3180026469028547,3947300.51820832,250839.85902485,76157.7515743,12464.437949529998,6614.14001437,1085.14661978,520.28365062,530.08246214,139.00193338999998,0.01,0.0
2484,2017-10-20,3958557.349638549,3944132.3496385515,3.397667960391268,3335546.41079622,498255.21557042,94599.84759143,11005.15245331,648.22337555,271.30085278,1140.58884531,2663.3169004300007,2.2932531000000003,0.0,0.0
2485,2017-10-21,4902989.093440562,4888514.09344056,3.9172880320172054,4557141.27262034,224813.52727156,77432.66163912,15428.85565163,961.925002,524.27803828,11400.49585018,631.94608856,145.79994562,33.33133327,0.0
2486,2017-10-22,3956932.35171581,3943457.351715809,2.2757809412260777,3353995.76079767,500696.04142129,73160.20711296,13690.358960799998,88.06562148,820.5966794299999,206.0799543,735.05818002,65.18298786,0.0,0.0
2487,2017-10-23,6698179.72532485,6682879.72532485,3.682221888201557,6030639.82650205,405186.40014857,189605.78669901,40275.08263580001,13390.917367630005,208.8762642300001,207.65349268,359.90493169,3005.27728319,0.0,0.0
2488,2017-10-24,5753409.176006969,5739234.17600697,2.692010631613776,5191168.4747794615,416009.71702375,111646.40496041,14468.18799569,547.16866091,237.65198775000007,2191.96525568,2442.4734585999995,522.1318847200001,0.0,0.0
2489,2017-10-25,4775245.50340734,4760920.503407339,9.623031842987485,4180378.01887021,374801.01211738994,84003.82284048003,10238.99604598,107540.5557553,728.2589786500004,207.20138354,2990.7242908200014,31.91312497,0.0,0.0
2490,2017-10-26,4173391.2915377,4159466.2915376998,3.1700675611095472,3681028.60802768,387643.85453419,64937.161609860006,20386.54928922,456.8763249799998,23.11435285,1867.08379632,2997.1145681200005,124.92903447999998,1.0,0.0
2491,2017-10-27,3458966.657030021,3444116.65703002,2.7694562644931144,2999093.6470642,382218.26460163,45997.46207596,12258.83196753,742.0661689799998,1097.37983206,1601.60827802,899.2423075999999,208.15473404,0.0,0.0
2492,2017-10-28,3048149.75123198,3032449.75123198,5.455575004969,2683994.19491607,242703.75336985,52141.60566402,45951.8896807,218.41802741,4105.287988100001,498.0735197,2294.9272996000004,482.67060102000005,58.93016551,0.0
2493,2017-10-29,25205758.99161024,25190933.99161024,4.107132729965887,23355169.45806346,443845.63605569,939989.65023513,438579.82582083,2307.92173044,9248.360112559998,781.05073053,903.50012253,108.58873907,0.0,0.0
2494,2017-10-30,36714143.74594456,36698468.74594457,0.4988818150960623,36191092.2849388,379769.20767094,88265.44491811,32925.69160494,683.39165242,56.87338539000001,438.20963845,5145.07281241,92.5693231,0.0,0.0
2495,2017-10-31,35295767.178877786,35281742.17887779,0.8193078170390389,34475217.52594721,609455.0560224,124477.41430444,59347.65722045,777.7002119499998,3473.4247338600007,8074.815558550001,884.75367893,33.8312,0.0,0.0
2496,2017-11-01,40322878.49110758,40308753.49110758,0.4059845872144023,39713527.28549303,481632.26367426,79274.35548908,27115.79027145,1864.66950014,2466.20356368,197.87709402,1658.56047492,1016.4855470000001,0.0,0.0
2497,2017-11-02,44523760.91217661,44511110.912176624,1.604553728175368,43593566.041339,537911.00750738,90249.99950955,32057.836269579995,251964.81991744996,558.9959796100002,264.55723715,3570.4473433700005,944.59265205,22.61442148,0.0
2498,2017-11-03,47723681.02522437,47709256.02522437,0.36083365426246655,47106674.56393535,483717.6648059701,91491.99190895,17584.94634325,4802.421022459999,42.77885914,240.95914843000003,3809.1705324800014,882.92005578,8.608612560000001,0.0
2499,2017-11-04,34269973.38605733,34253898.38605733,0.2908742197783565,33958968.131344244,238832.88291339,35191.07865118,13359.8026246,3193.0306829999986,2097.50432978,279.27694976,1925.38792703,51.29063435000001,0.0,0.0
2500,2017-11-05,34136484.67458265,34123084.67458265,0.4219894840901258,33622696.50627751,419647.71932121005,44010.22313564,17082.35799673,14922.79790072,1038.25534884,118.45090736999998,3337.2470504600005,231.11664417,0.0,0.0
2501,2017-11-06,38777308.16507578,38763483.16507579,0.3852361724443226,38222519.15096328,438646.15457901,60872.7468013,34760.98056880999,2513.07972211,803.11998917,1602.5034339999993,890.4433083199998,858.0314563000002,16.95425349,0.0
