,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
20,2017-08-20,263950.24837899,3700768.99905802,1852264.179909461,1147108.4561432702,1218502.5537439305,1672056.3993862022,1006528.90813362,1900841.8003614317,879718.69466317,2861149.5555250696,0.0
21,2017-08-21,200713.29864507,3777850.1146988687,1834794.5715299982,1173393.1082137304,1212351.7797237784,1671690.1318472882,1002178.1283860005,1898956.0780567813,878192.0138512505,2862320.5703503885,0.0
22,2017-08-22,286546.67766903,3757664.491861092,1806222.253327281,1178998.7008021495,1207397.0006681408,1653822.0218590281,998781.9427382387,1891114.8104833185,878319.5328971208,2864259.8629977615,0.0
23,2017-08-23,203480.19446416,3832434.5764755285,1810708.4560911085,1189844.9607007,1207915.029955138,1649474.1296976383,1003111.63770752,1884066.212257689,877737.3163612399,2864629.781592432,0.0
24,2017-08-24,279398.03491172,3759284.677877117,1793643.8172892903,1218760.1417027402,1176560.3750619614,1671832.4379259797,1007739.4299593108,1882103.14413006,876007.88518123,2865184.8512637494,0.0
25,2017-08-25,168685.36300791,3830968.6183282193,1836462.9627813487,1228821.340651851,1158423.133347399,1691836.7408965311,1007647.1628369888,1876746.69350831,874109.4160360695,2865413.3639085293,0.0
26,2017-08-26,126157.57291581,3842726.09254722,1880480.0137797303,1227983.1985862,1153242.0982295484,1694036.2581508062,1007277.7239614113,1875552.768320889,874566.1827036896,2865542.886107849,0.0
27,2017-08-27,149191.83422945,3704468.430304669,1981134.6882489102,1246811.1683520211,1152403.988567271,1693843.582032018,1004959.3012710285,1875496.88922182,869141.5316377801,2870650.8814381887,0.0
28,2017-08-28,194031.1709964,3584435.60202316,2060072.5647514304,1252107.623015011,1154730.9299378805,1691009.591857948,1002615.38527546,1872663.8557850597,868554.7795052206,2870055.7921555913,0.0
29,2017-08-29,359229.10040097,3289084.53573695,2246951.486085601,1256961.55668632,1125545.7449383505,1681453.895123791,983735.8075182006,1868583.40249155,870569.5436906203,2869937.2226308105,0.0
30,2017-08-30,822411.38561694,3186858.678109391,2275274.353903818,1217860.51991375,1073078.2845915796,1551396.113172672,818952.9722704408,1866954.0925897008,870779.4251816795,2869561.4699531887,0.0
31,2017-08-31,169566.6018846,3664538.88144335,2454344.2271272945,1223075.0023359202,1073139.84963438,1545323.4779665882,817422.0314817196,1867362.8751022185,869691.0779839598,2869738.27034312,0.0
32,2017-09-01,172558.11811491,3675843.39397407,2421374.8184786118,1239153.0406795791,1080285.4777626602,1546516.1941393104,815404.4693118096,1865595.2250379985,871208.7608239492,2867712.79698026,0.0
33,2017-09-02,145282.46398053,3607069.0888352194,2523045.685546207,1244009.2638994302,1074045.347260661,1546767.0355280896,815233.7749946496,1863186.7335185902,870481.9977864801,2868205.903953301,0.0
34,2017-09-03,148370.4867559,3389985.2662975006,2745017.6521607973,1250980.954186922,1070544.26680193,1544021.359558169,814705.1525644301,1851766.492781881,874648.6180128198,2868924.5461828117,0.0
